id,x,y,z,D
564,83565.21,-4014.81,3052.77,1081.5
565,55678.59,-13399.89,4683.14,2031.5
566,66107.62,-9115.20,3869.35,7964.5
567,67797.72,-15146.51,3942.07,1644.0
568,64392.74,-14976.70,4116.60,9382.1
569,64029.93,-20310.58,4145.26,3840.8
570,84374.20,-11571.39,2958.82,2534.1
571,78553.50,903.64,3117.66,8845.6
572,79950.65,5515.82,3421.35,1162.8
573,94296.21,-6558.94,3013.03,2019.7
574,100159.72,-13499.96,3020.96,1938.1
575,101482.50,-15110.13,3108.38,2332.2
576,103742.73,-18230.40,2770.11,1226.3
577,104306.09,-21171.76,2748.48,3487.6
578,93119.90,-21035.31,2777.46,2220.6
579,104910.02,-17596.64,2910.97,5473.4
580,109507.09,-7050.18,2981.64,1969.9
581,108001.77,-7914.39,3004.15,1659.4
582,107618.68,-3559.96,2913.48,1634.3
583,107210.81,-2325.80,2875.98,1386.7
584,102582.19,-5154.97,2900.25,2477.6
585,102289.24,-2789.75,2983.24,1548.3
586,101002.51,-4042.10,2971.55,1796.7
587,103019.36,466.98,2844.06,2257.0
588,109011.33,-24383.01,2938.45,1860.7
589,108053.60,-25586.84,2855.46,1302.6
590,102715.15,-26014.40,2808.11,1087.3
591,95452.23,-24622.56,2904.51,3194.4
592,77692.68,-29616.82,2440.14,1426.5
593,87400.60,-29795.72,2392.79,1077.0
594,98670.18,-28864.80,3121.89,1354.0
595,107895.86,-29625.91,2762.03,1488.0
596,109696.38,-29447.01,2912.72,1276.5
597,105964.64,-25735.43,2858.15,1099.6
598,106665.47,-24743.85,2896.04,1194.7
599,107618.68,-24428.49,2955.35,1038.3
600,58042.47,-29186.22,4248.79,1893.6
601,48629.76,-26293.38,5124.82,1095.0
602,49039.89,-28734.41,4852.63,1108.2
603,47000.50,-29628.95,4801.74,1441.0
604,48102.44,-27560.89,4960.01,1168.3
605,-10438.05,-25920.40,-294.07,1253.8
606,-9013.86,-29671.40,-320.94,1010.3
607,-23496.87,-29622.88,-322.35,1570.2
